#{"t_start": 1775412613.600419, "env_id": "Inverted_Pendulum_version_1"}
r,l,t
53.186714,500,49.834402
50.129285,500,49.895643
51.04042,500,49.95789
45.505295,500,50.336251
46.187176,500,50.398171
49.960817,500,50.459239
51.774277,500,50.520734
48.585455,500,50.581648
50.556315,500,50.959689
48.173127,500,51.021633
52.177172,500,51.083541
51.461929,500,51.145678
45.305279,500,51.518331
50.014379,500,51.579368
51.624016,500,51.640518
48.612425,500,51.701624
44.130496,500,52.073065
52.604771,500,52.135663
50.075688,500,52.196681
48.167717,500,52.257572
52.717189,500,52.629909
50.169674,500,52.691766
44.351964,500,52.753478
44.336567,500,52.81538
53.2024,500,53.186286
47.039561,500,53.24828
45.816065,500,53.311109
47.912537,500,53.376197
51.647878,500,53.769786
49.77051,500,53.839453
53.208879,500,53.905341
48.886255,500,53.997539
49.939519,500,54.474755
46.791835,500,54.542338
47.374634,500,54.604902
46.622404,500,54.667961
48.341241,500,55.058507
44.895587,500,55.122044
49.85529,500,55.184338
52.700737,500,55.246548
44.48753,500,55.629271
51.730164,500,55.691593
49.419973,500,55.752947
47.47343,500,55.814157
50.979239,500,56.184897
51.618002,500,56.246976
52.475345,500,56.308861
51.773059,500,56.370387
52.273956,500,56.739582
52.720642,500,56.802092
52.022002,500,56.86392
52.773576,500,56.925983
45.575629,500,56.988299
51.502048,500,57.358556
51.051368,500,57.420729
49.445161,500,57.48319
48.697354,500,57.544796
47.396665,500,57.915647
50.838193,500,57.978009
46.202565,500,58.038738
48.442909,500,58.100125
50.239158,500,58.474287
44.686608,500,58.537737
45.346492,500,58.600222
44.825628,500,58.661649
47.527846,500,59.069159
50.406149,500,59.149569
51.434405,500,59.225676
44.303409,500,59.295064
44.476028,500,59.746117
48.712894,500,59.808531
44.742019,500,59.87863
43.972178,500,59.94606
43.829346,500,60.327492
45.503799,500,60.38979
48.583769,500,60.452038
52.786079,500,60.514775
48.946059,500,60.894456
48.999352,500,60.956768
53.151404,500,61.01847
45.35721,500,61.080571
52.00277,500,61.452924
51.328445,500,61.515506
51.505617,500,61.577129
45.175189,500,61.638041
50.482156,500,62.01175
46.799372,500,62.074089
49.770892,500,62.135184
48.234063,500,62.19631
44.489001,500,62.57031
50.64305,500,62.632893
46.662393,500,62.694526
51.081426,500,62.755571
50.487658,500,62.81678
46.172986,500,63.190141
45.080923,500,63.251563
46.01049,500,63.313159
53.329166,500,63.374954
53.431641,500,63.750704
45.741637,500,63.812213
47.136312,500,63.874381
52.769684,500,63.935757
48.28434,500,64.309773
48.594108,500,64.370734
50.140375,500,64.432743
46.170506,500,64.495341
46.770817,500,64.869508
49.714303,500,64.930722
48.001518,500,64.992603
47.992077,500,65.056472
49.015157,500,65.429202
47.85233,500,65.491994
44.80891,500,65.554311
48.526285,500,65.616658
49.988546,500,65.990271
45.051554,500,66.052225
44.445266,500,66.113575
47.756996,500,66.174764
50.921636,500,66.548632
47.801191,500,66.61095
46.856277,500,66.673915
49.478666,500,66.735371
49.565395,500,67.147016
49.994923,500,67.209007
45.640199,500,67.270819
49.221203,500,67.332338
48.852402,500,67.706383
50.484773,500,67.768985
52.733282,500,67.830668
44.370666,500,67.892752
48.629501,500,68.264978
49.041458,500,68.32754
50.398089,500,68.388822
48.786032,500,68.45065
49.505137,500,68.512859
49.090458,500,68.886496
51.851145,500,68.948171
46.837323,500,69.010248
46.992634,500,69.073097
50.488669,500,69.444519
50.444761,500,69.50689
48.723369,500,69.569532
47.286018,500,69.631869
46.007094,500,70.01145
44.711823,500,70.076328
48.862324,500,70.138356
47.077663,500,70.200243
47.681642,500,70.579542
44.347091,500,70.64173
45.055568,500,70.703836
45.834792,500,70.766137
45.045591,500,71.142809
45.347548,500,71.205888
48.223567,500,71.2681
48.475061,500,71.33008
44.679414,500,71.703551
49.401737,500,71.765758
45.841098,500,71.8276
53.170436,500,71.888956
46.654762,500,72.260716
46.638065,500,72.322603
49.442508,500,72.384394
51.171311,500,72.446506
52.176558,500,72.819152
48.213088,500,72.882788
45.240324,500,72.944365
44.836676,500,73.006189
50.026557,500,73.383064
45.166178,500,73.447202
49.695503,500,73.509756
45.254994,500,73.571774
44.658161,500,73.950758
46.145096,500,74.014132
48.068994,500,74.076381
52.272226,500,74.138574
52.19186,500,74.525929
50.427508,500,74.589558
52.469335,500,74.651923
47.091536,500,74.714687
48.94484,500,74.776643
52.287535,500,75.157629
51.146463,500,75.220346
50.986385,500,75.283263
46.588748,500,75.345897
45.948185,500,75.722007
45.386569,500,75.785128
44.681332,500,75.847313
47.060053,500,75.909867
53.433513,500,76.288169
48.446475,500,76.351333
51.467587,500,76.413442
53.151305,500,76.476236
44.474856,500,76.851727
46.030745,500,76.914426
45.29177,500,76.977168
52.592126,500,77.038986
50.261792,500,77.410319
44.921002,500,77.473099
51.156397,500,77.534071
50.675985,500,77.595723
46.060743,500,77.965772
51.548798,500,78.027782
49.003011,500,78.089224
50.250666,500,78.150811
45.444564,500,78.522547
49.151545,500,78.58462
45.464219,500,78.646961
47.499123,500,78.708778
47.043655,500,79.079854
50.186537,500,79.142366
52.44859,500,79.204474
45.274668,500,79.2659
51.392407,500,79.637263
51.820771,500,79.700191
49.611116,500,79.762933
52.67672,500,79.825167
50.832331,500,80.201323
52.806154,500,80.264368
48.058826,500,80.32585
43.871631,500,80.387495
49.336407,500,80.450197
49.353289,500,80.822376
44.370706,500,80.884124
52.136914,500,80.946045
47.519746,500,81.008286
47.425715,500,81.380742
49.494632,500,81.441934
52.154143,500,81.504234
51.012946,500,81.566946
49.644359,500,81.939006
49.334292,500,82.001639
51.767136,500,82.0639
51.489495,500,82.126563
52.557521,500,82.49965
48.282824,500,82.561566
52.769621,500,82.623071
48.932382,500,82.684499
51.891294,500,83.056624
53.097228,500,83.118968
48.523381,500,83.181029
44.924983,500,83.242892
50.432942,500,83.616022
49.815528,500,83.678042
51.371537,500,83.739512
50.461728,500,83.801681
44.02953,500,84.174627
48.666717,500,84.237756
49.443815,500,84.299891
49.540764,500,84.362134
49.298213,500,84.732947
50.474683,500,84.795041
51.221244,500,84.856911
48.271909,500,84.918653
51.591782,500,85.294421
52.826132,500,85.358882
48.894699,500,85.421277
48.928729,500,85.483793
50.912032,500,85.860466
50.46632,500,85.923136
49.062585,500,85.985737
45.271809,500,86.047999
50.700349,500,86.423103
45.994789,500,86.487206
44.771521,500,86.550146
44.123336,500,86.613215
52.103463,500,86.675674
48.819941,500,87.055132
46.517039,500,87.118191
47.082293,500,87.180418
46.13465,500,87.249002
47.491527,500,87.626946
49.940382,500,87.689606
46.469005,500,87.751188
51.178577,500,87.81913
